id,scrape_id,last_scraped,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,jurisdiction_names,instant_bookable
5978498,2.01601E+13,04-01-2016,1914 Stunner View Ocean Mountain,31037494,Silvia,11-04-2015,"Seattle, Washington, United States",within a day,60%,100%,f,Queen Anne,1,1,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.64063323,-122.3727094,House,Entire home/apt,4,3,3,2,Real Bed,,$175.00 ,$699.00 ,"$2,388.00 ",$200.00 ,$80.00 ,1,$0.00 ,4,120,8,88,9,9,9,9,10,9,WASHINGTON,f
5021081,2.01601E+13,04-01-2016,Seattle Queen Anne Beauty,25906186,Vacation,10-01-2015,US,within an hour,71%,100%,f,Queen Anne,1,1,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63812149,-122.37579,House,Entire home/apt,7,3.5,4,3,Real Bed,,$222.00 ,"$1,325.00 ","$4,650.00 ",$500.00 ,$250.00 ,7,$75.00 ,2,1125,5,75,8,9,8,9,9,8,WASHINGTON,t
1686930,2.01601E+13,04-01-2016,The Hideaway- Queen Anne/downtown,8916363,Paige,18-09-2013,US,within an hour,100%,100%,f,Queen Anne,1,1,"West Galer Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62981553,-122.3662123,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$159.00 ,,,$250.00 ,$99.00 ,1,$0.00 ,1,1125,62,97,10,10,10,10,10,9,WASHINGTON,f
7680289,2.01601E+13,04-01-2016,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,Kevin,02-08-2015,"Kirkland, Washington, United States",within an hour,100%,100%,f,Queen Anne,2,2,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63981019,-122.3738006,Apartment,Entire home/apt,4,1,1,2,Real Bed,,$125.00 ,$800.00 ,"$2,700.00 ",,$50.00 ,2,$25.00 ,2,365,19,95,10,10,10,10,10,10,WASHINGTON,t
7207641,2.01601E+13,04-01-2016,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,Joe & Anna,23-05-2013,"Seattle, Washington, United States",within a day,50%,N/A,f,Queen Anne,1,1,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63556952,-122.3616526,House,Entire home/apt,8,3,3,3,Real Bed,,$348.00 ,"$2,500.00 ",,$750.00 ,$150.00 ,6,$20.00 ,3,1125,5,96,10,10,10,10,10,9,WASHINGTON,f
5062445,2.01601E+13,04-01-2016,Cozy Homebase Close to Downtown,21072725,Chris,08-09-2014,"Seattle, Washington, United States",a few days or more,31%,100%,f,Queen Anne,1,1,"West Howe Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63497873,-122.3588694,House,Private room,1,1,1,1,Futon,,$45.00 ,$450.00 ,"$1,500.00 ",,,1,$0.00 ,1,1125,7,97,9,8,10,10,10,10,WASHINGTON,f
8925878,2.01601E+13,04-01-2016,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,Kevin,02-08-2015,"Kirkland, Washington, United States",within an hour,100%,100%,f,Queen Anne,2,2,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.6393621,-122.3724026,Apartment,Entire home/apt,4,1,1,2,Real Bed,,$150.00 ,$950.00 ,"$2,950.00 ",,$50.00 ,2,$25.00 ,2,365,2,100,10,10,10,10,10,10,WASHINGTON,t
6389657,2.01601E+13,04-01-2016,Cute little Seattle Studio!,2052160,Ruth,02-04-2012,"Seattle, Washington, United States",within a few hours,100%,100%,t,Queen Anne,1,1,"Queen Anne Avenue North, Seattle, WA 98109, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98109,Seattle,"Seattle, WA",US,United States,47.63461628,-122.3580227,Apartment,Entire home/apt,2,1,0,1,Real Bed,,$80.00 ,,,,$20.00 ,1,$0.00 ,3,1125,11,98,10,10,10,10,10,10,WASHINGTON,f
4218733,2.01601E+13,04-01-2016,Walker's Dream on Queen Anne Hill,21896205,Henry,28-09-2014,"Seattle, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"W. Crockett St., Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63800138,-122.3610048,Apartment,Entire home/apt,4,1,1,2,Real Bed,,$110.00 ,,,$100.00 ,$40.00 ,2,$15.00 ,2,1125,71,90,10,8,10,10,10,9,WASHINGTON,f
2715623,2.01601E+13,04-01-2016,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,Debera,18-08-2013,"Seattle, Washington, United States",within a few hours,100%,100%,f,Queen Anne,1,1,"-11th Ave. W., Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63199585,-122.3716577,House,Entire home/apt,3,1,1,2,Real Bed,,$148.00 ,,,,$100.00 ,2,$20.00 ,3,365,9,91,9,10,9,9,10,10,WASHINGTON,f
1392332,2.01601E+13,04-01-2016,Modern Eco-Friendly View Retreat,2315558,Holly,07-05-2012,"Seattle, Washington, United States",N/A,N/A,N/A,f,Queen Anne,1,1,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63868624,-122.3707999,House,Entire home/apt,4,1.5,2,2,Real Bed,,$350.00 ,"$2,100.00 ",,$500.00 ,$100.00 ,4,$0.00 ,2,30,41,98,10,10,10,10,10,9,WASHINGTON,f
